batch_id,production_line,weight,baking_time,cooling_type,cooling_time,decoration,decoration_type,decoration_time,additional_cooling_time
f08e6356-f3f2-4516-b238-643da2c03a5a,2,521,,rack,18.1,yes,fondant,6.2,
6299e810-7d65-403b-8898-06974b83ed15,1,521,11.3,conveyor,9.4,yes,glace,4.0,95.8
5f1f41bb-89bc-46fc-b632-f4d34199aaf1,2,505,11.0,conveyor,5.8,yes,glace,4.3,86.0
c57b9683-a899-43b3-8682-f4cefec4a26d,2,518,11.2,rack,16.2,no,,,
483fc69e-b534-4558-a752-d75e2241b1cd,2,529,9.8,conveyor,6.8,yes,sprinkles,1.8,
15b93a29-731d-474e-89be-f52c59ccfb27,1,506,7.1,conveyor,8.5,yes,glace,3.8,77.3
e35c239e-fa9a-4674-aa08-49dfaf082ae8,2,510,13.9,conveyor,6.9,yes,sprinkles,2.1,
2ec5c74d-f60a-4720-aa3e-95940f6e66cf,1,511,11.3,rack,12.0,yes,fondant,5.3,
ed27b6b0-0168-47ac-a761-2d0b2478d2da,2,517,11.6,conveyor,7.9,no,,,
abfd5a9e-d3a5-4852-befc-df193cd48b54,2,512,10.6,conveyor,9.2,no,,,
a6093d94-0409-47c5-8050-c8558c6aacb3,2,512,11.6,rack,13.6,yes,fondant,6.5,
11dd07af-483d-406d-a8d7-2fda800f56fd,1,508,12.2,conveyor,8.6,no,,,
860676aa-dfc9-4f89-a679-1aa713e8fe14,1,521,9.8,rack,12.6,no,,,
2f62b6d5-856e-40d1-84f1-66663b4f3e2b,2,521,11.2,rack,17.6,yes,fondant,4.4,
2142bb7f-c326-414d-b451-f78b0fd25fd2,2,508,10.0,conveyor,9.6,no,,,
5630a261-0c20-4349-9e7c-514c6b12bcaa,1,535,12.0,rack,14.8,no,,,
4d6e5288-9781-45f2-9300-508a3e4e911b,2,497,9.6,conveyor,7.7,no,,,
500ec9ce-4e58-4d61-819e-5b2650037821,2,514,9.5,conveyor,6.8,yes,glace,3.8,80.4
72006be6-246b-47ff-b65d-079f182f5154,2,510,8.7,conveyor,5.2,yes,fondant,6.1,
322a41df-5537-4a57-b29c-46d008127217,1,517,9.5,rack,18.2,no,,,
,1,540,12.3,rack,12.9,no,,,
006035b5-cbd0-40af-a2d0-76ecd544fc37,2,516,8.9,rack,12.5,yes,fondant,6.6,
e616627d-b935-4ab9-88d1-3141812b7999,2,521,11.0,conveyor,8.0,yes,fondant,6.0,
5bbee216-564e-408e-98d1-b763e758fdf2,1,516,12.9,rack,13.1,yes,sprinkles,2.0,
88e6b21c-ae30-4e83-817a-863909c0f46a,2,512,11.2,conveyor,8.0,yes,fondant,5.0,
d832a026-239b-4ac3-bc56-19f7bc539ccb,1,518,10.6,conveyor,7.6,no,,,
609a187d-be2c-4412-81c2-f8ca67578454,2,528,13.8,conveyor,9.5,yes,glace,4.6,66.8
4dbbf075-3ec0-4d97-85b6-2927b634a940,1,530,11.6,rack,16.2,yes,glace,3.4,64.8
4866019e-f299-4425-a1b3-461a2b8a3d74,1,514,11.3,rack,13.4,no,,,
5b42eb80-ad0d-468f-bdad-9e2f6df99ca7,1,519,10.3,rack,11.9,no,,,
d4846ec2-6d3e-4dd0-8ba7-7fedeb87d670,2,511,11.5,rack,11.3,yes,fondant,7.1,
7ccbdf65-659f-4334-b286-bf3ba7be6b90,2,537,10.9,conveyor,8.2,no,,,
2a2e6e9a-8151-4589-8435-534ab1fd17b0,1,540,13.0,conveyor,7.9,yes,sprinkles,1.2,
2b8abb39-93b6-403e-9b8d-9e3856cbca2c,2,535,8.9,rack,14.5,yes,sprinkles,1.9,
80fecb74-2a7f-4481-bb07-50538364586a,1,527,12.2,conveyor,6.0,yes,glace,3.7,93.2
3433c3ed-1ea3-4689-9dec-52b2d88fc94d,1,505,11.4,conveyor,7.0,no,,,
b7debdd1-feb1-4ddc-8ff1-f7a9e24a827d,1,523,11.6,rack,14.0,yes,sprinkles,2.1,
cd5faccd-9263-48df-863f-6bb7b018d22b,2,505,12.9,conveyor,5.2,no,,,
423d4d70-e201-4f8e-936e-e792e573c460,2,525,10.7,rack,17.4,yes,glace,3.8,98.1
9859f83c-e0f7-4d5f-a4f8-e053e7803fde,1,533,11.4,conveyor,8.3,yes,fondant,6.2,
5ff303bd-bd0d-4efb-afa4-b3ab8451fe33,1,524,,rack,15.8,yes,glace,2.9,86.9
ccb1967a-460b-421b-89c5-e4f4c9fb24bf,1,517,9.6,conveyor,8.4,yes,glace,4.7,74.0
67e0e87d-0d48-4f6b-8188-047f68bed117,1,531,12.0,conveyor,9.0,yes,fondant,6.9,
ae93c5b9-c1e4-4806-8960-d1d9b442baa9,1,520,12.5,rack,17.3,yes,glace,4.0,76.2
55c5a5a2-e74c-4cb5-99dc-c6f92af8a770,2,515,11.4,conveyor,7.3,yes,fondant,5.9,
42f453aa-783f-46b0-bc49-d35bbc8de788,1,528,10.5,rack,13.9,no,,,
f88c7675-1abc-4621-803a-bf83091549f3,2,513,10.0,conveyor,6.4,yes,sprinkles,2.1,
3ba74d8a-30e3-4ca4-8ddb-0491f035bd2f,2,511,10.6,conveyor,6.9,yes,glace,4.0,107.7
2f23f23e-a218-44ac-9df0-c72dcc8af832,2,514,12.0,rack,16.8,yes,glace,4.3,88.2
fae3dec5-7a3f-4f69-aa5e-1d67d8e224e5,2,518,12.9,rack,17.1,yes,fondant,5.3,
4b4a5741-c3bc-41fb-a06c-7d46ec9be644,2,514,11.6,conveyor,5.1,yes,sprinkles,2.1,
e2bfa2e6-3542-4577-b1e2-a21ca7cf152f,1,534,11.7,conveyor,5.0,yes,sprinkles,1.7,
0c71b259-f7b7-40c4-a54f-e0198a7468b6,2,509,11.6,conveyor,6.1,yes,sprinkles,2.1,
45558951-bf80-40aa-a933-bbce5ff19e82,1,520,10.7,rack,18.7,yes,glace,3.6,85.5
a64004da-a169-4bc1-b08e-5949ffab64b0,1,526,12.2,rack,15.4,yes,sprinkles,1.7,
c93a7b02-fc5f-49ef-9558-4fcbc7c1f7ad,1,520,12.3,conveyor,9.3,no,,,
c8766f32-7f30-4c24-a504-f3c793b9d1be,1,514,11.3,conveyor,6.5,yes,fondant,6.4,
321e2fa6-f3d1-4f8d-9f60-f41536e86b4a,1,532,10.1,conveyor,7.5,yes,sprinkles,1.6,
23fbefe9-e1f0-4cbf-8d51-02916771387c,1,516,,conveyor,6.6,yes,fondant,6.1,
55b56266-7226-4a1b-867d-463fab9bdc41,2,520,11.0,rack,14.3,yes,fondant,6.2,
630c0add-35d0-4809-bbc9-24292967874f,1,504,10.0,conveyor,9.0,no,,,
2cdc60b5-2f3d-48ed-a839-3db9591bc83a,1,531,11.7,conveyor,8.4,no,,,
,2,508,11.2,conveyor,7.3,yes,sprinkles,2.2,
a076c714-7b68-477b-9f7f-49234d29dd9e,2,532,11.6,conveyor,8.2,yes,fondant,8.0,
dcce3d73-2f40-4030-8ff7-a056c3700197,2,510,9.9,rack,12.1,yes,fondant,6.9,
293492e2-128a-4f62-9438-27decf8f04e2,1,516,10.9,conveyor,8.5,no,,,
7cd2ad75-fb67-4245-88ea-92daffb8b987,1,503,7.8,rack,15.1,yes,sprinkles,1.8,
368175b0-5746-494c-a35c-3f31914545c5,1,523,12.0,rack,15.7,yes,glace,4.0,90.2
91323ada-035f-43ab-9955-bf1688c6c426,1,529,8.8,conveyor,8.6,yes,fondant,6.3,
d5bcef8f-4b69-46d0-8fc1-7b90efd672f1,2,515,11.9,rack,14.7,yes,glace,3.4,88.3
feca408f-5fe3-4a11-b74e-5a24b1c6acb9,2,517,12.8,conveyor,6.5,yes,glace,3.8,88.3
9d02198e-b7a5-4a44-b0f2-4834a1fbc549,1,524,9.5,conveyor,5.5,yes,fondant,6.7,
c707241f-86b2-400a-9dd8-ea83c352595d,2,504,13.1,rack,16.4,yes,sprinkles,2.0,
f54fb7b9-8cf4-4103-a950-dd7cb607eede,2,521,12.0,rack,15.7,yes,glace,3.7,81.2
a1caf77c-31c6-4165-87b8-1403c016ef92,2,497,11.2,conveyor,5.6,yes,sprinkles,1.8,
c05a794f-caa9-428e-8cd5-0b39c11acd68,2,524,9.5,conveyor,7.0,yes,fondant,5.5,
3e7ff4ef-0f18-44a3-b913-1bd04dea1fe6,2,510,11.1,rack,15.2,yes,fondant,4.8,
ddbd117e-7ec0-4765-b9bc-075d1ac965e5,2,496,9.1,rack,15.0,yes,glace,4.5,102.4
c985a873-9100-4a20-875b-5a6e955638d7,2,520,11.6,conveyor,7.1,yes,fondant,6.0,
fbd760c8-d56b-4d60-82cb-58596509fe51,2,509,12.5,rack,13.6,yes,sprinkles,1.7,
1f857aea-1fc7-43f5-bbea-699197e155ee,1,527,8.9,conveyor,6.7,yes,fondant,5.5,
2bc1dc57-6022-4f6b-8e17-32cfa422972f,2,498,12.5,rack,15.0,no,,,
60431bbf-227b-4f2e-b369-912dc5e15ed4,2,511,11.7,conveyor,5.7,yes,fondant,5.6,
4ee77a64-7251-4335-b628-668e41d2cfd0,1,525,11.2,conveyor,9.4,yes,fondant,5.5,
6766840c-40da-440c-b3a5-20d41c776132,1,522,12.4,rack,17.0,yes,glace,4.6,77.8
c857a878-a016-459a-81d9-1dbef041d337,2,522,11.2,rack,13.6,yes,glace,4.4,86.8
144c11d2-838b-43e5-a94f-544836f3e47d,2,521,11.6,conveyor,9.0,yes,glace,3.4,100.3
2231c158-23e1-4aad-a811-8dd277f32830,1,523,11.2,conveyor,7.7,no,,,
19b9f61e-6edc-4e42-8508-e878cf07b710,2,500,,rack,13.4,yes,fondant,6.2,
be2a16ee-eedb-4e3c-a9f7-87d033959acf,1,514,10.3,rack,14.3,no,,,
372ff57e-c31b-40ec-b140-b0784b529d7c,1,518,10.5,conveyor,9.8,yes,glace,3.7,90.0
ed0a3c4a-a48a-49bd-9b3b-e9f8d5e7b2b5,2,524,12.0,rack,18.0,yes,glace,4.6,97.2
,1,502,9.9,conveyor,8.0,yes,glace,4.0,81.9
7fa55857-b213-44c7-bb09-a19016e962e9,1,534,12.4,rack,13.5,yes,fondant,5.9,
a641713e-d553-4e84-99f3-b0e131dd16c6,1,532,13.2,rack,14.6,yes,sprinkles,1.9,
,1,509,11.7,conveyor,7.4,yes,sprinkles,1.8,
2aadca45-26a6-41be-9f91-9177fb9f3e0f,1,521,10.5,rack,15.8,yes,glace,3.5,79.0
f857ef63-c3fd-4307-b9a0-306daf020e65,2,511,8.4,conveyor,8.1,no,,,
1914f40d-7b9e-41db-a163-16e1838537ca,2,511,9.8,conveyor,7.8,no,,,
9eb307c5-3ea1-45b8-92ad-8d4661dca017,1,503,10.6,conveyor,7.8,no,,,
848cae25-3659-4416-bc9c-ff365dda381f,1,530,11.7,conveyor,7.8,yes,fondant,5.9,
d63e22ca-6691-4d3a-845e-302d40ee4837,2,489,9.3,conveyor,7.1,yes,glace,4.1,61.9
4c001eab-b76b-49d5-be2c-385b60367852,1,520,12.0,rack,10.7,yes,sprinkles,1.6,
a0f6a560-8f94-4126-b599-705dd3d0906e,2,531,9.8,conveyor,7.5,yes,glace,3.7,88.7
851ac06d-8259-4139-bb99-9d2db1cfc993,1,509,10.3,rack,14.6,yes,fondant,6.2,
71979b10-c659-4716-b2e4-19d76891eb61,2,521,10.8,rack,13.7,no,,,
719c3324-78a9-48e2-823c-1af7a8221457,1,516,11.7,conveyor,8.4,yes,sprinkles,2.3,
17e8a5cd-1bbf-48a4-af29-837f861f4416,2,514,11.7,conveyor,5.4,no,,,
9cbe35a9-57c6-4939-b704-aef78a45f539,2,505,12.2,conveyor,5.5,yes,glace,4.0,93.6
186b814d-3ed0-4007-8ba6-fba9acf1dd7d,2,502,13.6,rack,13.8,yes,fondant,4.4,
c34adc89-0678-49ce-9980-e3057b2a31b2,2,520,10.0,rack,11.3,yes,sprinkles,2.1,
2ebb5603-0128-4c01-b751-5ff9cf2ec236,2,514,9.6,conveyor,5.5,no,,,
64c97e2d-fd53-481a-ae54-b29770836810,1,537,13.7,rack,13.7,yes,glace,3.1,86.1
69f39aaa-d628-44bf-af45-856f6f9c3c88,2,513,11.7,rack,12.3,yes,fondant,6.7,
eef38f70-fe14-4428-9340-f1542eb2090e,2,510,11.1,conveyor,9.3,no,,,
2d8a15e6-76de-4857-85ba-f8654a72d219,2,506,10.6,conveyor,7.1,yes,sprinkles,1.6,
7323477f-6461-482a-a0f9-5cfc0a8920d8,2,523,9.2,rack,16.4,yes,fondant,5.8,
b3c3fbb1-1f73-43b2-abf9-381ab8e4b3f7,1,511,8.4,conveyor,10.0,yes,fondant,8.4,
eca8018b-1519-457f-9e76-afbd79befab1,2,511,10.4,conveyor,9.6,yes,fondant,6.4,
34d46ea0-25d6-4b54-b386-960822950ab7,1,543,11.5,conveyor,5.7,yes,sprinkles,2.3,
9bfe2f05-6dd5-40c4-a59f-62fc4eb20718,2,520,12.7,conveyor,7.5,yes,fondant,6.0,
40aaae2b-ba31-419e-b20e-3136dbc918d5,2,501,10.5,conveyor,6.0,yes,fondant,6.6,
648d2c9e-d542-4c73-a941-b989394c978b,1,516,9.4,conveyor,8.5,yes,fondant,5.7,
367c2a32-0670-49f3-91ea-3439388d6a25,2,515,10.4,conveyor,8.0,yes,sprinkles,2.4,
d0c13eb3-d732-4e94-a6f3-0b6146fc4af1,1,519,10.5,conveyor,8.0,yes,glace,3.9,103.1
e6d52b31-93ca-462f-ac23-9324c16e35cd,2,508,11.7,conveyor,8.6,yes,glace,4.1,98.4
24bada4a-ae17-4de8-b38f-0841d55fe5cc,2,504,10.9,conveyor,9.6,no,,,
b2e8ea87-d03d-4c2f-9d29-74cb4776a9ec,1,515,9.3,rack,14.8,yes,sprinkles,1.4,
0062924d-811d-4989-966f-f193d7c975b3,2,508,11.1,rack,13.4,yes,glace,3.9,85.5
2c756aa7-990f-496d-a2d5-d001b1b3a1e5,1,530,12.5,rack,16.0,yes,fondant,5.7,
76c3ccca-4918-419c-992b-bb05cb498f97,2,516,11.3,conveyor,9.1,no,,,
1df7df1f-90b9-4e6b-b63a-298a62b2d4c0,1,522,11.1,conveyor,9.5,no,,,
635d723b-00a1-4689-b344-a8b73e26f784,2,519,10.4,rack,17.1,no,,,
67c4fc55-8888-4216-af97-744d17b0a4d8,1,533,10.3,conveyor,7.4,yes,glace,4.5,86.9
473015fd-be7c-48cf-9823-c726f6dee2e6,1,529,11.1,conveyor,7.8,yes,sprinkles,2.2,
cd9ecb3d-3863-4688-9446-9dd02bae4298,2,509,9.0,conveyor,7.5,yes,glace,4.0,93.5
3ce7d496-f12c-45b8-a329-3d5fc451f679,2,523,10.0,rack,17.2,yes,fondant,3.8,
a12584b5-490e-4f01-a27d-bc0c1a184c20,1,514,10.8,rack,12.6,no,,,
ad84d2b8-7396-4378-8809-63396b0aed56,2,506,12.4,conveyor,5.5,yes,glace,3.7,101.1
db9952ce-d73d-45c0-8f31-42e06fb44a24,1,513,9.0,rack,16.9,yes,glace,4.1,89.6
58812915-9814-4842-b37a-7f5729e800f6,1,533,11.4,rack,15.3,yes,fondant,6.6,
63e9c51b-f6a6-4eb2-a2ef-4a4c4f3ab6ba,2,527,9.3,rack,14.4,yes,sprinkles,1.9,
94272f95-d65c-48ac-9f6d-3a4b6f8ca9b8,2,507,11.2,conveyor,7.1,yes,fondant,6.0,
b20f955f-8350-4b63-a4ed-511d9551f1fc,1,537,10.9,conveyor,7.4,yes,glace,3.1,79.3
e8f5b942-1918-417c-8224-2a5b53a64e7f,1,524,9.4,conveyor,8.5,yes,sprinkles,1.9,
213e8a43-fafe-4dfc-8e7d-65db6f1ee7f4,1,512,9.1,rack,14.0,no,,,
68186ca7-1372-4291-a18c-4f425efc164d,2,487,11.1,rack,14.7,no,,,
f94d3eff-3bfd-49fc-826c-61345343ab33,1,524,9.3,conveyor,5.4,no,,,
cc2d7925-dec8-4a86-9419-5369304a08a5,2,521,7.8,rack,15.6,yes,glace,3.6,99.3
9a22210e-b0e0-4121-92ff-8a5cca23f47d,2,523,9.9,rack,15.0,yes,fondant,5.9,
493c5086-945f-4e5b-9f1a-222d42a59ab7,1,522,11.5,conveyor,8.9,yes,sprinkles,1.9,
b484ab7a-e0a4-4712-8897-f46bf04103b7,2,525,11.5,rack,15.7,yes,sprinkles,2.0,
a4bbdc88-46f6-4b58-9b86-b5bf3365c717,2,523,10.6,rack,17.3,yes,glace,4.6,76.6
a741364a-5027-42b5-b680-91986c23078d,2,512,10.6,conveyor,5.8,yes,sprinkles,2.4,
372598c0-bb91-497e-98d6-5b2ce1fe0ad3,2,512,11.2,conveyor,6.4,no,,,
ee75a875-fff7-4093-8fb9-1b4a65b19073,1,523,10.9,rack,16.4,yes,glace,3.1,117.7
34d413b9-110d-4d99-bd80-0d9d9376c71b,1,538,13.2,conveyor,9.3,yes,fondant,7.6,
cc1ba1cf-c60c-446a-a387-1954546f17b7,1,514,10.2,conveyor,5.6,yes,fondant,5.3,
d292c36e-ffcc-4adc-a82e-9d209ea77c33,2,504,11.5,conveyor,5.4,yes,fondant,4.4,
30c9ff32-91e3-4caa-ab09-990f569858b6,1,530,11.3,rack,14.1,yes,sprinkles,2.3,
75cfdc53-e49e-45c9-97c0-1920b53426e5,1,521,10.6,rack,15.2,yes,sprinkles,2.2,
b35b74ab-d352-4285-9899-95d6cfdbd409,2,514,10.3,conveyor,5.1,no,,,
6a27b320-d8de-4888-b00c-9342fd37d436,1,524,11.3,conveyor,9.5,yes,glace,3.4,92.7
483ea93b-d76a-4653-af30-c17926f76a30,2,499,10.6,conveyor,7.7,yes,fondant,6.0,
6ca83dfe-42af-4af3-ba18-21d5f1251acc,1,521,9.8,rack,16.8,yes,fondant,7.0,
e5a091c8-84b6-4eb5-ac62-9859afb132da,1,522,10.2,rack,16.7,no,,,
f0734cf0-fe60-4528-b608-89fc5d261b60,2,504,12.9,conveyor,6.9,no,,,
90bedbd0-e874-4085-aacf-1b972f9cdc53,1,542,,rack,15.9,no,,,
e05b50aa-9f83-4cbe-93d6-3115d38ab745,1,522,11.1,conveyor,5.4,yes,sprinkles,2.2,
900af686-44d1-4bda-bdd6-2709bc4a5a6b,1,513,10.9,conveyor,7.9,no,,,
2a18d034-ec87-4547-83c7-c70f4aa8eadb,1,517,11.9,conveyor,6.2,yes,sprinkles,1.9,
2e410151-80e3-48ac-85ce-8cf35fac9c1f,1,529,11.7,conveyor,6.3,yes,glace,4.2,94.9
1381613a-9a2e-4f2c-abf9-7e192ee9c7ae,2,505,,rack,17.2,yes,sprinkles,2.6,
8fb03e4a-4689-435e-b96f-8358e8b133ff,2,510,11.7,conveyor,8.8,yes,glace,4.2,97.2
80d816cd-d31c-495d-baf4-fae98fc53c2d,2,513,11.2,rack,12.5,yes,glace,3.5,83.0
395b5a83-45a7-4574-a433-42782e520db0,1,518,9.3,conveyor,6.0,yes,fondant,4.8,
3b93519d-cca9-4ca8-ab6d-87fca37c0b78,1,523,10.1,conveyor,8.6,yes,sprinkles,1.9,
8dbaa91d-88f7-4e51-9a27-ea92f98afcc4,1,526,10.1,rack,12.7,yes,sprinkles,2.0,
3ab820b8-a59c-4414-bcb7-3f6c5d3c17b1,1,518,11.5,conveyor,7.4,yes,fondant,6.9,
353add72-ce11-47c7-82b6-f8b79fb654d0,2,503,12.6,rack,15.9,no,,,
28839434-8ec8-42b3-819b-8d5a7d02cb3a,1,538,10.7,rack,13.7,yes,glace,4.1,64.9
c5c79bad-e835-4839-80f0-00fa1177049d,2,528,11.4,conveyor,9.0,no,,,
11cf2a4f-bb9f-4cfc-9584-82df2711f6ad,2,511,10.5,rack,15.8,yes,glace,3.6,104.7
f5a803e0-6003-4f31-a57f-cc5cf8e280c0,2,510,12.5,conveyor,5.5,yes,sprinkles,2.0,
,1,519,9.0,rack,18.2,yes,glace,5.0,113.0
a17437d5-4336-49ab-8bec-6ab47200dbff,1,530,12.6,conveyor,6.3,no,,,
cc9de35e-fa63-4a42-b8a0-ae47507562a2,2,530,11.5,conveyor,6.4,yes,fondant,5.4,
1d88d405-4f6e-459c-9ecf-fbeef4c73ac8,2,525,11.2,conveyor,5.3,yes,sprinkles,2.3,
9e5d9d8c-928d-4098-be93-4c7dcb71bfad,2,508,11.6,rack,15.6,yes,glace,3.5,83.9
de98368f-4dca-4488-993f-406b777c8a25,1,520,11.9,rack,17.5,yes,glace,4.1,74.9
cfc3d514-3f5a-4206-94d3-e3408dc66604,2,511,8.6,conveyor,8.5,yes,glace,3.7,95.5
005d1f34-9348-4c56-a662-84048e152e70,2,511,11.5,conveyor,7.1,yes,fondant,5.5,
ffd6b2af-11d7-4ca7-9749-d0d637ea6974,1,517,11.8,rack,12.2,yes,fondant,5.5,
31db2969-0961-4d71-a4ad-f96a7720efbe,1,510,10.1,rack,15.0,yes,sprinkles,2.3,
4d73f444-8ae1-4327-ae04-0d2bc40d7d44,1,507,8.0,rack,16.3,yes,sprinkles,2.0,
cea014bb-b30c-45ec-9c32-667cf360d84e,1,517,9.5,conveyor,8.9,no,,,
a45ee0df-360e-4d48-a313-53a6b6783db0,2,510,10.7,rack,16.1,no,,,
6453d0c3-cd5b-4d54-a6fb-334c08359fcd,2,527,10.1,conveyor,6.3,yes,glace,4.2,81.0
5ca2642d-aac8-4e4a-97d8-3bbb6b3a1d97,2,525,12.5,rack,16.7,no,,,
da5a99c1-67f1-466e-8eb1-ec797bf66c79,1,534,,conveyor,9.5,no,,,
fd59b609-d4ea-4e7a-ba6e-a7271b967418,1,527,11.2,rack,13.2,no,,,
f3d9ef41-26fe-4d29-9d02-c70da2ec8d9f,2,515,11.2,conveyor,8.2,yes,sprinkles,1.5,
973c67a1-410a-45e1-9eb4-a4149362d2f1,1,520,11.1,rack,15.1,no,,,
a83cd263-b048-4358-8e7e-3aefb61b79f6,1,535,10.6,conveyor,9.7,yes,sprinkles,1.8,
be4dcd49-c8c3-4f07-b223-5e6986adf054,2,510,9.4,conveyor,5.1,no,,,
5f630992-7b36-4401-bd15-2cd7a0eab82b,1,533,12.4,rack,15.3,yes,glace,4.1,94.1
c333c4a2-9169-426e-8c4f-d5824ce6f903,2,504,12.2,rack,17.1,no,,,
771e1628-ef0a-4c3e-a266-a8316a84359d,1,539,10.8,conveyor,8.1,yes,glace,3.7,82.9
9603e706-32bb-414e-8a7d-a165f4915031,2,508,10.2,conveyor,8.8,yes,sprinkles,2.4,
1665f028-4c2a-4057-9624-9debc6307897,2,508,,conveyor,8.8,no,,,
92f7dc9d-976e-4cf5-9b7b-bd561e9020e5,1,501,10.4,rack,16.9,no,,,
f39ec0b8-1873-47fa-8cf7-b7071187f329,2,527,11.4,conveyor,8.6,yes,fondant,4.8,
8d212685-c02c-42e2-8720-62ac46517f4e,1,514,11.7,conveyor,6.5,no,,,
3ae4dab2-e4e3-465d-bf0f-807a28c943a3,2,528,12.6,conveyor,9.5,no,,,
a5722f13-b10b-4507-9468-ee353e0a98c3,1,528,9.0,rack,14.2,yes,fondant,6.3,
b6b63780-0d8d-4ad1-8499-a05548694c44,2,518,10.1,conveyor,9.5,yes,sprinkles,1.3,
8f462eb4-0fb0-4899-9510-793b8530c565,2,534,12.3,rack,14.4,no,,,
074b7675-3d9b-4432-9870-78b8eb364a9f,2,534,10.5,conveyor,9.9,yes,glace,3.6,76.3
60472e5a-62cd-4733-a1db-c06c38f1f607,1,529,12.0,conveyor,9.0,yes,glace,5.1,69.5
4c67ee32-1d43-402e-a59f-916495688d05,2,524,9.2,rack,16.1,yes,glace,4.6,100.3
cc06f260-aafa-45ab-99d1-7efb6b310a02,1,485,10.2,conveyor,5.3,yes,sprinkles,2.0,
6ed164b9-57b8-4d99-80e4-568c91eaa9f6,1,514,11.9,conveyor,8.5,yes,sprinkles,1.8,
101bf1e2-f61c-4f97-8b59-bc7f4b29cfd3,2,510,10.9,conveyor,5.3,yes,fondant,5.5,
7b0e24de-8dbb-447b-b368-3191fae879e5,1,527,9.9,conveyor,6.0,yes,glace,4.3,100.3
c623e3cd-2d68-44be-9292-d7d27639f901,2,504,10.1,rack,17.0,yes,fondant,4.9,
3d19ac79-9be8-458b-9f2f-59f269076ae9,2,504,11.1,conveyor,6.6,no,,,
3b91b134-2301-47e4-b6ab-a589bc56b892,1,512,13.4,conveyor,7.4,yes,fondant,5.1,
226e4d93-0edc-468f-9335-dc518a09676d,1,514,11.8,rack,13.4,yes,glace,2.7,82.7
730b9826-adaa-491a-bd5d-63e470186151,2,511,10.0,conveyor,9.3,yes,glace,4.4,89.7
13494d1a-56cb-4763-ae2c-014eeac12e53,2,509,9.5,conveyor,7.4,yes,fondant,6.6,
b25b62e3-5dfe-4638-96f6-dd42eb45e2c6,1,522,10.5,conveyor,8.1,yes,sprinkles,2.4,
,1,499,11.1,conveyor,5.7,yes,glace,3.6,72.6
3654ce4c-47d4-4d15-9f61-10b3e2325459,2,527,10.1,rack,14.2,no,,,
56c473c6-de9b-4b45-afa6-f930fe4df8ec,1,524,11.0,rack,16.7,no,,,
44541fa8-7b5c-4730-aaeb-ece53075a400,2,522,7.9,conveyor,6.4,yes,sprinkles,2.2,
3c0e6128-669c-4912-917b-b47e90dda54e,1,519,11.6,conveyor,8.8,yes,glace,4.4,100.8
d7aa4bd1-8a69-4791-8bb1-71a0232c4361,1,528,11.2,conveyor,9.2,no,,,
